id,club_id,name,date,time,description,expected_attendance
71,17,"Game Night with Cranberries,",2023-04-22,18:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",26
72,17,"Study Session with Cranberries,",2023-05-09,16:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",5
73,17,"Community Outreach with Cranberries,",2023-05-17,18:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",22
74,17,"Fundraiser with Cranberries,",2024-03-19,11:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",5
75,17,"Social with Cranberries,",2024-04-18,14:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",12
76,17,"Workshop with Cranberries,",2024-09-06,14:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",19
77,17,"Hackathon with Cranberries,",2024-10-22,12:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",28
78,17,"Meet & Greet with Cranberries,",2025-05-20,18:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",11
79,17,"Workshop with Cranberries,",2025-05-30,11:00,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",24
80,17,"Study Session with Cranberries,",2025-11-06,13:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",2
81,17,"Workshop with Cranberries,",2026-02-06,10:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",8
82,17,"Fundraiser with Cranberries,",2026-05-31,14:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",24
83,17,"Hackathon with Cranberries,",2026-06-13,14:30,"A great opportunity for students to engage with Cranberries, Baby! (Sketch Comedy Troupe).",31
84,18,Meet & Greet with Criminal,2022-11-20,18:00,A great opportunity for students to engage with Criminal Justice Student Association.,4
85,18,Meet & Greet with Criminal,2023-06-03,17:00,A great opportunity for students to engage with Criminal Justice Student Association.,21
86,18,Community Outreach with Criminal,2023-08-17,10:00,A great opportunity for students to engage with Criminal Justice Student Association.,23
87,18,Guest Lecture with Criminal,2023-08-23,13:30,A great opportunity for students to engage with Criminal Justice Student Association.,19
88,18,Meet & Greet with Criminal,2023-12-31,16:30,A great opportunity for students to engage with Criminal Justice Student Association.,6
89,18,Speaker Night with Criminal,2024-05-11,14:30,A great opportunity for students to engage with Criminal Justice Student Association.,16
90,18,Speaker Night with Criminal,2024-10-29,11:30,A great opportunity for students to engage with Criminal Justice Student Association.,15
91,18,Guest Lecture with Criminal,2024-10-31,15:00,A great opportunity for students to engage with Criminal Justice Student Association.,13
92,18,Guest Lecture with Criminal,2025-04-03,14:30,A great opportunity for students to engage with Criminal Justice Student Association.,27
93,18,Speaker Night with Criminal,2025-09-24,12:00,A great opportunity for students to engage with Criminal Justice Student Association.,28
94,18,Study Session with Criminal,2026-06-01,18:00,A great opportunity for students to engage with Criminal Justice Student Association.,21
95,19,Speaker Night with CRU,2022-12-11,16:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,2
96,19,Guest Lecture with CRU,2023-04-07,15:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,15
97,19,Hackathon with CRU,2023-05-28,10:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,21
98,19,Workshop with CRU,2023-06-19,18:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,30
99,19,Hackathon with CRU,2023-08-16,10:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,18
100,19,Social with CRU,2024-01-05,14:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,23
101,19,Study Session with CRU,2024-08-01,14:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,11
102,19,Game Night with CRU,2024-08-29,11:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,18
103,19,Social with CRU,2024-09-08,16:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,16
104,19,Guest Lecture with CRU,2024-10-25,17:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,16
105,19,Game Night with CRU,2024-12-16,13:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,11
106,19,Meet & Greet with CRU,2025-03-16,10:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,26
107,19,Workshop with CRU,2025-08-13,14:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,20
108,19,Fundraiser with CRU,2025-09-17,15:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,28
109,19,Community Outreach with CRU,2025-11-01,10:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,14
110,19,Community Outreach with CRU,2026-01-25,12:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,18
111,19,Fundraiser with CRU,2026-04-12,13:00,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,16
112,19,Hackathon with CRU,2026-04-23,18:30,A great opportunity for students to engage with CRU (Campus Crusade for Christ).,9
113,20,Study Session with Culinary,2022-06-22,17:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,31
114,20,Social with Culinary,2022-09-28,17:00,A great opportunity for students to engage with Culinary Club (Epicurean Society).,11
115,20,Workshop with Culinary,2024-04-22,12:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,26
116,20,Fundraiser with Culinary,2024-07-21,16:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,28
117,20,Guest Lecture with Culinary,2024-09-12,17:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,9
118,20,Meet & Greet with Culinary,2025-03-02,17:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,9
119,20,Fundraiser with Culinary,2025-08-13,10:00,A great opportunity for students to engage with Culinary Club (Epicurean Society).,5
120,20,Study Session with Culinary,2026-02-16,16:00,A great opportunity for students to engage with Culinary Club (Epicurean Society).,19
121,20,Meet & Greet with Culinary,2026-02-17,14:00,A great opportunity for students to engage with Culinary Club (Epicurean Society).,23
122,20,Community Outreach with Culinary,2026-04-13,17:30,A great opportunity for students to engage with Culinary Club (Epicurean Society).,24
123,21,Guest Lecture with Education,2022-10-31,13:30,A great opportunity for students to engage with Education Club.,27
124,21,Speaker Night with Education,2023-04-06,11:00,A great opportunity for students to engage with Education Club.,24
125,21,Speaker Night with Education,2023-06-11,14:00,A great opportunity for students to engage with Education Club.,22
126,21,Guest Lecture with Education,2023-07-10,10:30,A great opportunity for students to engage with Education Club.,19
127,21,Social with Education,2023-08-01,10:30,A great opportunity for students to engage with Education Club.,24
128,21,Fundraiser with Education,2023-09-01,15:30,A great opportunity for students to engage with Education Club.,25
129,21,Game Night with Education,2023-10-20,12:00,A great opportunity for students to engage with Education Club.,28
130,21,Game Night with Education,2024-04-10,18:30,A great opportunity for students to engage with Education Club.,12
131,21,Speaker Night with Education,2024-05-18,16:00,A great opportunity for students to engage with Education Club.,6
132,21,Game Night with Education,2024-10-16,12:30,A great opportunity for students to engage with Education Club.,5
133,21,Study Session with Education,2024-10-22,12:30,A great opportunity for students to engage with Education Club.,20
134,21,Hackathon with Education,2024-10-28,15:30,A great opportunity for students to engage with Education Club.,12
135,21,Fundraiser with Education,2025-03-12,13:00,A great opportunity for students to engage with Education Club.,5
136,21,Guest Lecture with Education,2025-03-13,10:30,A great opportunity for students to engage with Education Club.,25
137,21,Fundraiser with Education,2025-05-02,11:00,A great opportunity for students to engage with Education Club.,12
138,21,Community Outreach with Education,2025-09-12,12:00,A great opportunity for students to engage with Education Club.,9
139,21,Workshop with Education,2025-10-21,17:00,A great opportunity for students to engage with Education Club.,15
140,21,Workshop with Education,2026-02-03,15:00,A great opportunity for students to engage with Education Club.,11
141,21,Speaker Night with Education,2026-02-16,16:00,A great opportunity for students to engage with Education Club.,24
142,21,Study Session with Education,2026-02-17,13:30,A great opportunity for students to engage with Education Club.,25
143,22,Game Night with High,2022-12-14,14:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,7
144,22,Game Night with High,2023-01-23,12:30,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,22
145,22,Fundraiser with High,2023-07-16,11:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,20
146,22,Study Session with High,2023-08-04,12:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,24
147,22,Meet & Greet with High,2024-09-08,15:30,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,26
148,22,Social with High,2024-10-01,10:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,10
149,22,Guest Lecture with High,2025-01-07,17:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,8
150,22,Speaker Night with High,2025-04-18,18:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,22
151,22,Workshop with High,2025-04-29,18:30,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,17
152,22,Study Session with High,2025-07-26,18:30,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,31
153,22,Speaker Night with High,2025-09-02,17:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,19
154,22,Social with High,2025-10-01,12:30,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,16
155,22,Hackathon with High,2025-11-22,17:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,19
156,22,Game Night with High,2026-02-07,14:00,A great opportunity for students to engage with High Technology Crime Investigation Association (HTCIA).,9
157,23,Workshop with Human,2023-07-02,13:00,A great opportunity for students to engage with Human and Social Services Student Association.,25
158,23,Guest Lecture with Human,2023-07-05,18:00,A great opportunity for students to engage with Human and Social Services Student Association.,24
159,23,Meet & Greet with Human,2023-10-05,17:30,A great opportunity for students to engage with Human and Social Services Student Association.,28
160,23,Guest Lecture with Human,2023-10-12,18:00,A great opportunity for students to engage with Human and Social Services Student Association.,19
161,23,Social with Human,2024-01-29,17:00,A great opportunity for students to engage with Human and Social Services Student Association.,21
162,23,Guest Lecture with Human,2024-12-30,17:30,A great opportunity for students to engage with Human and Social Services Student Association.,1
163,23,Workshop with Human,2025-02-07,12:30,A great opportunity for students to engage with Human and Social Services Student Association.,9
164,23,Meet & Greet with Human,2025-03-27,10:00,A great opportunity for students to engage with Human and Social Services Student Association.,25
165,23,Meet & Greet with Human,2025-08-11,10:30,A great opportunity for students to engage with Human and Social Services Student Association.,20
166,24,Study Session with Institute,2022-08-23,16:30,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,9
167,24,Social with Institute,2022-12-15,17:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,18
168,24,Community Outreach with Institute,2023-09-15,11:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,13
169,24,Workshop with Institute,2023-10-28,10:30,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,10
170,24,Workshop with Institute,2024-02-02,18:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,9
171,24,Game Night with Institute,2024-04-06,17:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,15
172,24,Study Session with Institute,2024-05-30,10:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,24
173,24,Meet & Greet with Institute,2024-06-30,13:00,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,33
174,24,Speaker Night with Institute,2025-04-19,13:30,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,22
175,24,Study Session with Institute,2026-04-03,12:30,A great opportunity for students to engage with Institute of Electrical and Electronic Engineers (IEEE).,11
176,25,Community Outreach with Institute,2023-03-31,16:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,22
177,25,Workshop with Institute,2023-08-16,10:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,23
178,25,Study Session with Institute,2023-09-25,12:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,23
179,25,Fundraiser with Institute,2023-09-29,16:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,30
180,25,Community Outreach with Institute,2023-10-01,14:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,6
181,25,Fundraiser with Institute,2023-10-02,13:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,24
182,25,Meet & Greet with Institute,2023-11-01,13:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,24
183,25,Speaker Night with Institute,2024-01-13,12:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,9
184,25,Speaker Night with Institute,2024-06-10,17:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,22
185,25,Speaker Night with Institute,2024-06-29,13:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,28
186,25,Study Session with Institute,2025-02-19,14:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,15
187,25,Hackathon with Institute,2025-04-19,15:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,21
188,25,Workshop with Institute,2025-09-23,11:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,24
189,25,Study Session with Institute,2025-11-12,16:30,A great opportunity for students to engage with Institute of Management Accountants (IMA).,10
190,25,Workshop with Institute,2026-01-10,18:00,A great opportunity for students to engage with Institute of Management Accountants (IMA).,21
191,26,Fundraiser with Math,2022-06-11,18:00,A great opportunity for students to engage with Math Club.,13
192,26,Community Outreach with Math,2022-10-21,14:30,A great opportunity for students to engage with Math Club.,14
193,26,Community Outreach with Math,2023-03-31,13:00,A great opportunity for students to engage with Math Club.,26
194,26,Game Night with Math,2024-01-12,16:00,A great opportunity for students to engage with Math Club.,21
195,26,Hackathon with Math,2024-01-21,11:00,A great opportunity for students to engage with Math Club.,1
196,26,Hackathon with Math,2024-06-11,10:00,A great opportunity for students to engage with Math Club.,28
197,26,Workshop with Math,2024-08-26,17:30,A great opportunity for students to engage with Math Club.,24
198,26,Community Outreach with Math,2024-09-29,12:30,A great opportunity for students to engage with Math Club.,17
199,26,Hackathon with Math,2024-10-19,18:30,A great opportunity for students to engage with Math Club.,25
200,26,Meet & Greet with Math,2024-11-19,14:30,A great opportunity for students to engage with Math Club.,22
201,26,Community Outreach with Math,2024-12-10,16:00,A great opportunity for students to engage with Math Club.,4
202,26,Fundraiser with Math,2025-04-01,17:00,A great opportunity for students to engage with Math Club.,5
203,26,Social with Math,2025-08-03,14:30,A great opportunity for students to engage with Math Club.,22
204,26,Meet & Greet with Math,2025-08-11,13:30,A great opportunity for students to engage with Math Club.,18
205,26,Game Night with Math,2025-10-29,12:00,A great opportunity for students to engage with Math Club.,16
206,26,Meet & Greet with Math,2026-04-28,17:30,A great opportunity for students to engage with Math Club.,25
207,27,Meet & Greet with National,2023-12-05,11:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,7
208,27,Workshop with National,2024-01-25,17:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,20
209,27,Guest Lecture with National,2024-10-18,12:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,27
210,27,Meet & Greet with National,2024-11-28,14:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,18
211,27,Social with National,2025-03-22,10:00,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,15
212,27,Guest Lecture with National,2025-05-12,17:00,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,13
213,27,Community Outreach with National,2025-11-30,12:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,16
214,27,Study Session with National,2026-02-05,15:30,A great opportunity for students to engage with National Association of Black Accountants & Black Business Leaders (NABA).,7
215,28,Social with National,2022-05-12,15:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,12
216,28,Meet & Greet with National,2022-07-21,15:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,17
217,28,Hackathon with National,2022-12-28,12:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,19
218,28,Fundraiser with National,2024-09-04,12:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,7
219,28,Guest Lecture with National,2024-09-17,18:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,25
220,28,Community Outreach with National,2024-12-07,10:00,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,13
221,28,Meet & Greet with National,2025-01-21,15:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,19
222,28,Game Night with National,2025-03-23,17:00,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,11
223,28,Hackathon with National,2025-04-17,12:00,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,15
224,28,Hackathon with National,2025-04-28,15:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,24
225,28,Fundraiser with National,2025-07-09,17:00,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,36
226,28,Meet & Greet with National,2025-07-15,17:30,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,34
227,28,Hackathon with National,2025-12-01,16:00,A great opportunity for students to engage with National Electrical Contractors Association (NECA).,17
228,29,Study Session with Outdoor,2022-02-15,16:30,A great opportunity for students to engage with Outdoor Adventure Club.,18
229,29,Hackathon with Outdoor,2022-08-11,10:00,A great opportunity for students to engage with Outdoor Adventure Club.,30
230,29,Fundraiser with Outdoor,2022-11-29,14:30,A great opportunity for students to engage with Outdoor Adventure Club.,14
231,29,Study Session with Outdoor,2023-02-26,13:00,A great opportunity for students to engage with Outdoor Adventure Club.,20
232,29,Study Session with Outdoor,2023-06-16,18:30,A great opportunity for students to engage with Outdoor Adventure Club.,31
233,29,Speaker Night with Outdoor,2023-06-25,15:30,A great opportunity for students to engage with Outdoor Adventure Club.,12
234,29,Community Outreach with Outdoor,2023-10-06,16:30,A great opportunity for students to engage with Outdoor Adventure Club.,30
235,29,Community Outreach with Outdoor,2024-02-20,18:00,A great opportunity for students to engage with Outdoor Adventure Club.,7
236,29,Speaker Night with Outdoor,2024-02-21,15:30,A great opportunity for students to engage with Outdoor Adventure Club.,28
237,29,Fundraiser with Outdoor,2024-05-27,12:00,A great opportunity for students to engage with Outdoor Adventure Club.,6
238,29,Guest Lecture with Outdoor,2024-11-13,18:00,A great opportunity for students to engage with Outdoor Adventure Club.,5
239,29,Workshop with Outdoor,2025-02-10,10:30,A great opportunity for students to engage with Outdoor Adventure Club.,7
240,29,Game Night with Outdoor,2025-02-12,10:00,A great opportunity for students to engage with Outdoor Adventure Club.,13
241,29,Social with Outdoor,2025-02-20,15:30,A great opportunity for students to engage with Outdoor Adventure Club.,14
242,29,Meet & Greet with Outdoor,2025-05-02,18:30,A great opportunity for students to engage with Outdoor Adventure Club.,8
243,29,Study Session with Outdoor,2025-06-17,14:00,A great opportunity for students to engage with Outdoor Adventure Club.,26
244,29,Workshop with Outdoor,2025-07-10,16:30,A great opportunity for students to engage with Outdoor Adventure Club.,14
245,29,Community Outreach with Outdoor,2025-11-22,13:30,A great opportunity for students to engage with Outdoor Adventure Club.,20
246,30,Meet & Greet with Phi,2022-11-13,14:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,18
247,30,Community Outreach with Phi,2022-11-27,10:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,26
248,30,Fundraiser with Phi,2023-02-28,16:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,8
249,30,Guest Lecture with Phi,2024-01-21,16:30,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,23
