id,club,name,date,time,description,image
380,37,Workshop with Stark,2025-06-06,10:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
379,37,Meet & Greet with Stark,2025-04-01,13:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
378,37,Meet & Greet with Stark,2025-03-02,13:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
377,37,Hackathon with Stark,2024-11-07,14:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
376,37,Workshop with Stark,2024-07-03,12:00:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
375,37,Guest Lecture with Stark,2024-05-02,12:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
374,37,Game Night with Stark,2023-06-12,16:30:00,A great opportunity for students to engage with Stark State College Association of Medical Assistants.,defaultevent.png
373,36,Speaker Night with Stark,2026-06-25,18:00:00,A great opportunity for students to engage with Stark Raving Writers.,defaultevent.png
372,36,Guest Lecture with Stark,2025-08-23,10:00:00,A great opportunity for students to engage with Stark Raving Writers.,defaultevent.png
371,36,Guest Lecture with Stark,2025-06-09,12:30:00,A great opportunity for students to engage with Stark Raving Writers.,defaultevent.png
370,36,Speaker Night with Stark,2023-11-27,15:00:00,A great opportunity for students to engage with Stark Raving Writers.,defaultevent.png
369,35,Workshop with Stark,2026-02-14,11:00:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
368,35,Game Night with Stark,2026-01-09,10:30:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
367,35,Guest Lecture with Stark,2025-12-05,17:00:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
366,35,Social with Stark,2024-11-15,11:30:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
365,35,Meet & Greet with Stark,2024-04-27,18:30:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
364,35,Hackathon with Stark,2023-06-14,12:00:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
363,35,Study Session with Stark,2022-12-21,15:30:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
362,35,Speaker Night with Stark,2022-12-04,10:00:00,A great opportunity for students to engage with Stark Communication Society.,defaultevent.png
361,34,Speaker Night with Software,2026-06-09,11:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
360,34,Game Night with Software,2026-02-10,11:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
359,34,Speaker Night with Software,2026-02-02,17:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
358,34,Community Outreach with Software,2026-01-07,15:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
357,34,Workshop with Software,2025-11-07,18:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
356,34,Speaker Night with Software,2025-10-30,13:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
355,34,Study Session with Software,2025-10-11,14:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
354,34,Workshop with Software,2025-10-06,15:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
353,34,Workshop with Software,2025-08-21,17:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
352,34,Hackathon with Software,2025-07-15,18:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
351,34,Social with Software,2025-06-17,16:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
350,34,Meet & Greet with Software,2025-03-12,18:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
349,34,Workshop with Software,2024-11-15,18:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
348,34,Speaker Night with Software,2024-10-31,15:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
347,34,Game Night with Software,2024-09-24,16:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
346,34,Fundraiser with Software,2024-08-28,10:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
345,34,Workshop with Software,2024-05-07,12:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
344,34,Study Session with Software,2024-04-02,15:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
343,34,Meet & Greet with Software,2024-03-23,14:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
342,34,Workshop with Software,2023-09-15,15:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
341,34,Community Outreach with Software,2023-04-29,18:30:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
340,34,Speaker Night with Software,2022-03-18,14:00:00,A great opportunity for students to engage with Software Development Guild.,defaultevent.png
339,33,Community Outreach with Respiratory,2026-02-24,17:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
338,33,Study Session with Respiratory,2025-09-12,15:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
337,33,Social with Respiratory,2025-07-07,13:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
336,33,Workshop with Respiratory,2025-05-11,12:00:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
335,33,Game Night with Respiratory,2024-12-02,11:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
334,33,Speaker Night with Respiratory,2024-03-04,16:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
333,33,Meet & Greet with Respiratory,2024-01-20,13:00:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
332,33,Workshop with Respiratory,2023-12-07,11:00:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
331,33,Meet & Greet with Respiratory,2023-01-15,12:30:00,A great opportunity for students to engage with Respiratory Therapy Club.,defaultevent.png
330,32,Study Session with Psi,2026-03-16,12:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
329,32,Study Session with Psi,2026-03-07,10:00:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
328,32,Social with Psi,2026-01-24,11:00:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
327,32,Social with Psi,2025-12-03,13:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
326,32,Workshop with Psi,2025-10-17,16:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
325,32,Guest Lecture with Psi,2025-06-12,15:00:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
324,32,Speaker Night with Psi,2025-05-07,14:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
323,32,Fundraiser with Psi,2025-04-17,18:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
322,32,Social with Psi,2025-03-14,12:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
321,32,Speaker Night with Psi,2024-11-13,17:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
320,32,Fundraiser with Psi,2024-09-25,11:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
319,32,Community Outreach with Psi,2024-06-13,16:00:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
318,32,Hackathon with Psi,2024-04-13,10:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
317,32,Speaker Night with Psi,2024-02-03,15:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
316,32,Meet & Greet with Psi,2023-06-14,13:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
315,32,Community Outreach with Psi,2023-01-07,15:30:00,A great opportunity for students to engage with Psi Beta Psychology Honors Chapter.,defaultevent.png
314,31,Community Outreach with Physics,2026-06-03,11:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
313,31,Social with Physics,2026-01-23,15:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
312,31,Fundraiser with Physics,2025-10-26,10:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
311,31,Social with Physics,2025-03-04,16:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
310,31,Game Night with Physics,2025-01-27,14:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
309,31,Meet & Greet with Physics,2024-11-23,13:00:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
308,31,Speaker Night with Physics,2024-11-13,11:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
307,31,Guest Lecture with Physics,2024-08-31,11:00:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
306,31,Meet & Greet with Physics,2024-06-18,10:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
305,31,Game Night with Physics,2024-03-23,10:30:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
304,31,Hackathon with Physics,2024-02-19,11:00:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
303,31,Community Outreach with Physics,2022-06-26,10:00:00,A great opportunity for students to engage with Physics and Astronomy Club.,defaultevent.png
302,30,Social with Phi,2026-06-13,15:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
301,30,Fundraiser with Phi,2026-02-01,18:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
300,30,Workshop with Phi,2025-12-01,13:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
299,30,Game Night with Phi,2025-10-24,16:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
298,30,Speaker Night with Phi,2025-10-22,16:30:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
297,30,Hackathon with Phi,2025-08-21,18:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
296,30,Study Session with Phi,2025-05-01,15:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
295,30,Game Night with Phi,2025-03-19,14:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
294,30,Game Night with Phi,2025-03-01,13:30:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
293,30,Guest Lecture with Phi,2024-12-03,14:00:00,A great opportunity for students to engage with Phi Theta Kappa Honor Society.,defaultevent.png
